Alder;3801 Horten;3802 Holmestrand;3803 Tønsberg;3804 Sandefjord;3805 Larvik;3806 Porsgrunn;3807 Skien;3808 Notodden;3811 Færder;3812 Siljan;3813 Bamble;3814 Kragerø;3815 Drangedal;3816 Nome;3817 Midt-Telemark;3818 Tinn;3819 Hjartdal;3820 Seljord;3821 Kviteseid;3822 Nissedal;3823 Fyresdal;3824 Tokke;3825 Vinje
Utflytting;;;;;;;;;;;;;;;;;;;;;;;
22 år;331;235;622;679;435;483;552;137;325;28;160;109;32;71;198;49;16;20;18;15;9;21;35
23 år;364;231;677;695;446;441;519;141;342;31;145;102;22;69;220;54;18;22;17;16;9;11;35
24 år;385;231;691;617;445;478;532;132;342;41;133;113;39;64;240;57;15;25;18;10;10;9;34
25 år;368;224;693;602;505;504;556;130;333;17;173;86;44;58;222;41;9;20;16;10;25;20;32
26 år;321;232;713;584;405;413;507;106;364;25;145;67;20;51;175;61;10;26;14;18;13;18;40
27 år;265;219;634;563;375;426;446;116;292;16;122;74;23;59;181;52;5;29;14;15;13;25;36
28 år;254;186;612;435;318;375;406;109;260;21;105;71;22;62;145;46;11;20;15;11;10;15;28
29 år;230;145;534;401;263;311;346;77;234;24;93;43;18;55;132;33;9;26;21;11;9;14;24
30 år;207;137;441;350;233;264;348;70;181;21;77;39;14;45;99;44;12;15;16;4;14;10;20
31 år;172;136;370;335;197;230;306;68;167;11;71;32;14;31;83;38;7;12;12;5;3;10;23
32 år;145;98;351;242;198;200;240;70;164;7;54;36;13;44;65;23;6;10;10;8;8;17;17
33 år;111;89;337;266;186;169;190;59;143;12;49;27;10;29;52;16;6;20;8;9;4;7;17
34 år;104;99;283;225;163;153;176;48;120;11;44;26;14;29;60;25;4;18;7;8;5;1;11
35 år;101;83;266;217;125;133;146;30;105;7;33;20;3;23;45;16;5;16;6;3;4;5;8
36 år;89;75;249;220;133;137;162;35;89;8;41;22;6;24;39;24;;4;14;7;3;3;15
37 år;104;95;203;200;107;113;148;37;87;9;32;23;9;15;33;36;3;7;8;3;2;4;12
38 år;85;108;231;170;87;121;139;23;76;4;35;21;10;21;39;22;9;8;9;3;4;4;7
39 år;71;70;175;159;75;119;116;33;69;2;22;16;1;23;27;19;4;8;5;5;3;1;4
40 år;73;69;178;145;105;103;120;31;74;5;34;20;4;14;29;17;8;6;4;3;5;2;11
41 år;59;57;160;171;89;103;115;25;70;7;26;19;11;23;26;18;4;8;9;3;2;1;8
42 år;57;72;174;127;90;102;127;25;67;7;25;19;16;15;24;18;4;6;5;2;1;6;10
43 år;46;58;138;127;68;94;106;32;88;8;34;18;10;20;20;13;6;6;4;4;2;;7
44 år;53;69;156;117;100;80;101;26;68;4;24;21;8;12;19;7;5;8;3;3;2;4;10
