Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Arrangement for skoler og barnehager,Arrangement for skoler og barnehager frammøtte,Samtale og debatt-arrangement,Samtale og debatt-arrangement frammøtte,Kultur-arrangement,Kultur-arrangement frammøtte,Opplæring/ kurs/ verksted,Opplæring/ kurs/ verksted frammøtte,Bibliotekinformasjon/ omvisning,Bibliotekinformasjon/ omvisning frammøtte
Hægebostad,4226,1680,15,502,0,0,2,150,12,170,0,0
Kvinesdal,4227,5987,10,497,3,28,1,6,11,29,0,0
Sirdal,4228,1822,4,77,0,0,6,311,10,34,0,0
Eigersund,1101,14811,4,82,1,18,1,19,1,3,5,117
Stavanger,1103,143574,197,5196,22,2458,360,14897,383,4368,,
Haugesund,1106,37357,51,3243,9,450,35,2180,0,0,0,0
Sandnes,1108,79537,128,3509,3,54,82,3420,38,793,0,0
Sokndal,1111,3280,4,450,0,0,80,611,0,0,0,0
Lund,1112,3202,44,462,0,0,5,118,14,375,,
Bjerkreim,1114,2787,42,549,0,0,2,9,0,0,,
Hå,1119,18991,230,4474,3,126,25,365,14,227,,
Klepp,1120,19588,9,175,14,152,39,2206,62,1154,1,18
Time,1121,18916,34,1140,69,1905,101,2330,65,667,2,13
Gjesdal,1122,12002,74,2098,2,4,5,696,37,467,,
Sola,1124,27153,24,420,0,0,40,2254,5,118,0,
Randaberg,1127,11221,34,722,0,0,11,120,0,0,,
Strand,1130,12968,70,1246,0,0,8,379,0,0,0,0
Hjelmeland,1133,2574,4,135,6,65,5,94,18,170,0,
Suldal,1134,3804,49,792,2,20,6,93,12,60,1,15
Sauda,1135,4595,11,205,0,0,2,82,0,0,4,75
Kvitsøy,1144,517,0,0,0,0,0,0,0,0,,
Bokn,1145,852,0,0,0,0,6,217,0,0,1,9
Tysvær,1146,11065,40,2374,0,0,38,2369,49,514,0,0
Karmøy,1149,42186,62,4587,9,482,103,1404,5,95,35,1573
Utsira,1151,198,1,10,0,0,9,111,2,14,0,0
Vindafjord,1160,8714,0,0,3,238,12,403,4,30,3,35
Bergen,4601,283929,146,4003,46,2533,342,10142,316,3764,96,2042
Kinn,4602,17207,12,290,0,0,17,180,4,71,0,0
Etne,4611,4062,52,1153,0,0,17,389,19,210,2,25
Sveio,4612,5766,22,317,0,0,2,82,0,0,4,21
Bømlo,4613,11957,0,0,0,0,4,197,3,60,15,300
Stord,4614,18759,64,3098,5,215,25,1772,7,44,0,0
Fitjar,4615,3189,44,626,0,0,10,322,2,0,19,293
Tysnes,4616,2869,1,31,0,0,3,111,0,0,1,15
Kvinnherad,4617,13071,52,522,2,75,48,629,9,209,0,
Ullensvang,4618,11048,30,403,0,0,6,117,40,223,15,150
Eidfjord,4619,906,1,55,2,26,0,0,0,0,,
Ulvik,4620,1080,10,161,0,0,0,0,0,0,,
Voss,4621,15740,20,438,5,335,28,1105,10,134,7,135
Kvam,4622,8457,13,760,11,149,10,266,10,0,9,228
Samnanger,4623,2485,8,118,0,0,3,76,11,74,2,9
Bjørnafjorden,4624,24908,9,347,0,0,14,251,1,15,,
Austevoll,4625,5236,1,13,0,0,10,179,0,0,1,3
Øygarden,4626,38316,4,102,8,206,19,394,42,510,,
Askøy,4627,29553,41,1879,0,0,38,541,18,260,5,109
Vaksdal,4628,3977,0,0,0,0,3,70,0,0,0,0
Modalen,4629,388,0,0,0,0,0,0,0,0,0,0
Osterøy,4630,8098,11,405,0,0,7,250,8,112,,
Alver,4631,29224,38,900,4,47,25,671,20,290,4,26
Austrheim,4632,2870,2,44,0,0,1,12,0,0,,
Fedje,4633,548,2,73,4,56,1,11,1,11,1,7
Masfjorden,4634,1691,19,342,0,0,6,67,0,0,2,22
Gulen,4635,2297,0,0,0,0,8,80,0,0,0,0
Solund,4636,802,1,1,0,0,0,0,0,0,,
Hyllestad,4637,1328,0,0,0,0,1,40,0,0,0,0
Høyanger,4638,4101,4,68,0,0,2,78,1,2,0,0
Vik,4639,2635,16,556,0,0,5,262,7,118,,
Sogndal,4640,11847,3,146,1,43,19,681,0,0,2,15
Aurland,4641,1781,3,55,0,0,4,56,1,9,1,7
Lærdal,4642,2126,10,217,2,35,3,45,3,22,,
Årdal,4643,5193,29,546,2,65,14,279,1,22,0,0
Luster,4644,5174,0,0,0,0,1,35,0,0,0,
Askvoll,4645,3011,0,0,0,0,0,0,0,0,0,0
Fjaler,4646,2802,0,0,0,0,1,6,3,0,2,75
Sunnfjord,4647,22030,57,1137,3,158,37,764,6,178,6,127
Bremanger,4648,3629,0,0,1,25,6,250,24,245,,
Stad,4649,9457,5,289,7,61,11,211,17,107,,
Gloppen,4650,5854,20,330,6,30,9,124,0,0,0,0
Stryn,4651,7130,3,90,2,45,7,135,9,209,,
Kristiansund,1505,24179,25,668,1,19,37,776,11,317,3,80
Molde,1506,31967,37,763,18,180,15,407,51,251,3,19
Ålesund,1507,66258,162,2778,15,350,46,1596,36,311,23,406
Vanylven,1511,3117,1,25,3,25,2,150,0,0,0,0
Sande,1514,2461,0,0,0,0,0,0,0,0,0,0
Herøy (Møre og Romsdal),1515,8900,15,431,1,3,2,54,0,0,0,0
Ulstein,1516,8571,2,35,7,612,11,368,68,473,0,0
Hareid,1517,5175,22,250,2,15,1,50,10,150,5,100
Ørsta,1520,10825,7,182,0,0,2,89,0,0,0,0
Stranda,1525,4523,2,40,0,0,6,225,0,0,0,0
Sykkylven,1528,7625,3,26,0,0,3,75,1,20,13,236
Sula,1531,9310,7,171,0,0,9,281,13,211,0,0
Giske,1532,8462,27,551,0,0,10,144,13,101,0,0
Vestnes,1535,6532,2,71,3,91,0,0,12,90,2,63
Rauma,1539,7468,159,2226,0,0,2,90,0,0,1,18
Aukra,1547,3509,0,0,0,0,1,15,0,0,0,0
Averøy,1554,5788,0,0,0,0,1,18,9,21,0,0
Gjemnes,1557,2629,9,117,0,0,1,34,0,0,0,0
Tingvoll,1560,3025,64,544,0,0,3,45,2,42,0,0
Sunndal,1563,7036,33,475,5,125,22,420,32,270,3,45
Surnadal,1566,5920,6,155,0,0,17,139,1,16,2,40
Smøla,1573,2150,4,90,0,0,1,80,0,0,0,0
Aure,1576,3507,2,42,0,0,2,45,0,0,3,52
Volda,1577,10473,3,48,2,17,3,102,6,36,0,0
Fjord,1578,2549,9,71,4,44,0,0,16,183,1,15
Hustadvika,1579,13279,65,1406,0,0,3,111,16,132,0,0
Trondheim,5001,205163,484,9996,99,2938,177,6711,172,3405,11,277
Steinkjer,5006,24357,52,887,4,56,38,817,102,686,,
Namsos,5007,15230,143,1480,45,500,36,555,10,272,8,145
Frøya,5014,5151,17,218,0,0,76,770,7,42,10,250
Osen,5020,948,0,0,0,0,0,0,0,0,0,0
Oppdal,5021,7001,10,425,0,0,3,37,5,14,0,0
Rennebu,5022,2486,2,20,0,0,2,39,0,0,,
Røros,5025,5581,60,1148,11,350,10,113,1,15,6,264
Holtålen,5026,1981,250,2250,0,0,2,85,0,0,,
Midtre Gauldal,5027,6238,0,0,0,0,9,162,27,348,3,63
Melhus,5028,16733,85,2175,1,25,16,159,7,64,,
Skaun,5029,8325,31,1110,0,0,22,363,0,0,2,60
Malvik,5031,14148,22,455,13,50,22,441,9,185,,
Selbu,5032,4062,11,148,0,0,0,0,0,0,0,0
Tydal,5033,769,0,0,0,0,1,50,0,0,0,0
Meråker,5034,2422,11,372,8,176,7,186,6,70,2,36
Stjørdal,5035,24145,233,3655,1,17,10,685,52,1381,,
Frosta,5036,2627,6,350,0,0,5,510,0,0,0,0
Levanger,5037,20164,40,995,40,835,26,826,10,168,3,160
