
År;2015-2017
Vestfold og Telemark;1,8
Horten;1,7
Holmestrand;1,7
Tønsberg;1,7
Sandefjord;1,8
Larvik;1,8
Porsgrunn;1,9
Skien;1,9
Notodden;2,1
Færder;1,6
Siljan;1,3
Bamble;1,5
Kragerø;1,6
Drangedal;1,9
Nome;1,9
Midt-Telemark;2,0
Tinn;2,1
Hjartdal;1,5
Seljord;1,9
Kviteseid;1,4
Nissedal;2,0
Fyresdal;1,5
Tokke;2,1
Vinje;1,0
