År;Godstransport i alt;Fastlandstransport i alt;Jernbanetransport;Veitransport;Sjøtransport
2010;100;100;100;100;100
2011;97;98;117;97;103
2012;99;99;133;95;114
2013;101;105;150;102;112
2014;106;112;133;110;114
2015;103;106;167;101;124
2016;102;104;167;101;115
2017;101;101;167;96;119
2018;98;99;183;94;114
2019;96;97;200;90;119
2020;98;95;200;90;108
