År;Avlessing;Pålessing
2003;1038;1163
2004;1019;1207
2005;1207;1392
2006;1052;1145
2007;1220;1371
2008;1137;1154
2009;1105;1140
2010;1177;1172
2011;1078;1122
2012;1015;1157
2013;1165;1231
2014;1100;1086
2015;1136;1284
2016;1352;1528
2017;1474;1528
2018;1571;1826
2019;1610;1454
2020;1474;1427
2021;1479;1471
